,Brand,Processor,Operating_System,Ram_1,SSD,HDD,Touch_Screen,MRP,Price
529,ASUS,r5,win10,8,256,1000,no,"₹62,990",62990
530,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
531,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
532,Lenovo,r5,win10,8,512,0,no,"₹61,990",61990
533,ASUS,r7,win11,16,1000,0,no,"₹1,05,990",105990
534,acer,i7,win11,16,1000,0,no,"₹1,55,490",155490
536,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
537,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
538,Lenovo,i3,win10,4,0,1000,no,"₹33,499",33499
539,Infinix,i5,win11,8,512,0,no,"₹42,990",42990
540,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
541,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
542,HP,i5,win11,8,512,0,no,"₹63,990",63990
543,acer,i9,win11,16,1000,0,no,"₹1,24,990",124990
544,ASUS,Celeron,win11,4,0,0,no,"₹21,990",21990
545,Lenovo,Celeron,win10,4,256,0,no,"₹30,100",30100
546,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
547,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
548,HP,i7,win11,32,1000,0,no,"₹1,99,990",199990
549,acer,i5,win11,8,256,1000,no,"₹61,130",61130
550,ASUS,r9,win11,16,1000,0,no,"₹1,94,990",194990
551,Lenovo,r5,win11,8,512,0,no,"₹44,990",44990
552,Lenovo,i3,win11,8,256,1000,no,"₹40,990",40990
553,ASUS,i5,win10,8,1000,0,no,"₹75,990",75990
554,HP,i3,win11,8,512,0,no,"₹46,890",46890
555,Lenovo,i3,win11,8,256,0,no,"₹37,390",37390
556,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
557,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
558,Lenovo,i5,win11,16,512,0,no,"₹68,490",68490
559,ASUS,Celeron,win11,4,0,0,no,"₹19,990",19990
560,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
561,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
562,ASUS,i7,win11,16,512,0,no,"₹89,990",89990
563,DELL,i5,win11,8,512,0,no,"₹59,790",59790
